perturbation,Reference (Pubmed ID),Annotation_summary,effect_direction,notes,Included in CellOracle lit review?,CO categorization,CO references,CO Annotation_1,CO Annotation_2,CO Annotation_3,source,,,
Aff3,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Ahctf1,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Ahrr,PMID28930664,no known effect,none,The Ahr repressed by this gene controls macrophage vs DC fate choice.,no,Not reviewed,,NA,NA,NA,eric,,,
Aire,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Arhgef12,PMID31467124 DOI:10.1182/blood.V124.21.341.341,ME,LoF inhibits lineage,,yes,ME,31467124,MEP,Erythroid differentiation,,eric,,,
Arid3a,PMID34570885,ME,LoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Arid3b,PMID27537840,no known effect,none,"Article was retracted, but claimed no effect on myeloid differentiation.",no,Not reviewed,,NA,NA,NA,eric,,,
Arid5a,none,no known effect,none,,yes,No known role,,,,,eric,,,
Atf3,PMID24470589,no known effect,none,,no,Not reviewed,,,,,eric,,,
Batf2,PMID36824275,GM,LoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Batf3,PMID31921109 PMID26054719 PMID19008445,DC,GoF promotes differentiation and LoF inhibits differentiation,,yes,No known role,,"DC differentiation phenotype was reported, but myeloid differentiation phenotype is unknown.",,,eric,,,
Bcl11a,PMID34714913 PMID30182035 PMID35739577 DOI10.1182/blood.V104.11.385.385,ME,LoF inhibits lineage,"Represses PU.1, the Sfpi-1 gene product, and regulates globin switching and other eryhroid genes. Some sources claim LoF yields normal myeloid and erythroid development. Has large effects on HSC?s and lymphoid cells, which we neglect.",yes,"GM & ME, stemness","27653684, 26387834","Stemness, self-renewal, cell cycle",,,eric,,,
Bcl11b,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Bcl6,PMID34135058 PMID37607223 PMID38688934,GM & DC,LoF inhibits lineage,"Essential for DC development in vitro, but not in vivo. Required for development of some types of monocyte.",no,Not reviewed,,NA,NA,NA,eric,,,
Bhlha15,https://doi.org/10.1101/2024.11.20.624578,DC,LoF inhibits lineage,LoF suppresses cDC1 differentiation.,yes,No known role,,,,,eric,,,
Bhlhe40,PMID33039338,no known effect,none,There is literature on roles in immune responses but no known roles in myelopoiesis.,no,Not reviewed,,,,,eric,,,
Bhlhe41,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Bptf,PMID18974875 PMID37987160 PMID29456179,no known effect,none,"KO is early-embryo lethal, so myelopoiesis cannot be observed. Transplants indicate a very early defect prior to the ME-GM split.",yes,"GM & ME, stemness",29456179,Chromatin remodeling,,,eric,,,
Brf1,none,no known effect,none,,yes,No known role,,,,,eric,,,
Carhsp1,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Casz1,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Cbx5,none,no known effect,none,,yes,"GM & ME, stemness",,"Stemness, self-renewal",Chromatin remodeling,,eric,,,
Cdx1,PMID22901255,no known effect,none,"Essential for blood development and some other cell types, but myeloid role(s) not known.",no,Not reviewed,,NA,NA,NA,eric,,,
Cebpa,PMID9012825 PMID15589173 PMID15073037 PMID17088084 PMID25753223,GM,GoF promotes differentiation and LoF inhibits differentiation,LoF blocks differentiation of granulocytes and macrophages. Overexpression can reprogram committed T cell precursors into macrophages.,yes,GM,18295580,GMP,Cell fate switch between MEP and GMP,,eric,,,
Cebpe,PMID9371821 PMID11243377 PMID19925846 PMID11861297,GM,LoF inhibits lineage,Granulocyte defects are well-studied and some authors also discuss a defect in macrophages.,yes,GM,18295580,GMP,Granulocyte,,eric,,,
Chd2,PMID31900031,ME,LoF inhibits lineage,LoF inhibits megakaryocyte differentiation.,yes,"GM & ME, stemness","31900031, 19137022","Stemness, self-renewal, cell cycle","Erythroid differentiation, Mk differentiation",,eric,,,
Csrnp1,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Cux1,PMID29592892,GM & ME,Pleiotropic,"Defects in erythroid, platelet, and neutrophil lineages. LoF studies are tricky due to the gene being large and complex (33 exons). Effect is dosage-dependent.",yes,"GM & ME, stemness",29592892,"Stemness, self-renewal",,,eric,,,
Cxxc1,PMID19836314 PMID25470594 PMID17328666,GM,LoF inhibits lineage,"Alias Cfp1. Crucial histone modifier; LoF is early-embryo lethal and conditional LoF leads to bone marrow failure. In PLB-985 cells, granulocye or macrophage differentiation is impaired.",yes,"GM & ME, stemness",25470594,"Stemness, self-renewal, cell cycle",Relatively broad biological functions,,eric,,,
Dach1,PMID22405764 PMID33077975,Stemness,none,"Promotes myeloid over lymphoid fate and regulates cell cycle genes, but no known role in DC, GM, or ME fate choices.",no,Not reviewed,,NA,NA,NA,eric,,,
E2f4,PMID10983977 PMID10983976 PMID16861343,ME,LoF inhibits lineage,"Defect is in late-stage erythroid development, although this genes is highly pleiotropic.",yes,"GM & ME, stemness","16861343, 10983976","Stemness, self-renewal, cell cycle","Erythroid differentiation, hematopoiesis cell cycle",,eric,,,
Egr1,PMID9731053 PMID7565701 PMID7678779,GM,GoF promotes differentiation,Promotes monocyte fate over granulocyte or erythroid.,yes,No known role,,,,,eric,,,
Egr3,PMID17312150,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Ehf,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Elf1,PMID20525788,ME,GoF inhibits lineage,GoF blocks terminal differentiation of erythrocytes,yes,GM,"20525788, 15767686",Negative role in erythroid differentiation,PU.1 target gene,,eric,,,
Elf4,"PMID10207087, PMID16530702",Stemness,LoF inhibits lineage,"Per PMID16530702, LoF increases residence time in G0, reducing proliferation. There is also suggestive evidence for lineage-specific effects from PMID10207087 but differentiation in response to LOF was not directly assessed.",no,Not reviewed,,,,,eric,,,
Elk3,none,no known effect,none,,yes,No known role,,,,,eric,,,
Eomes,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Ets1,PMID20435626 PMID9264374,GM,LoF promotes GM lineage,"Also likely role in erythroid differentiation but most papers are on cancer, not normal development.",yes,ME,"16294212, 23927967",MEP,"Erythroid differentiation, Mk differentiation","Stemness, self-renewal",eric,,,
Etv6,PMID36543959 PMID15958056 PMID15371326 PMID37085035,ME & DC,Pleiotropic,Phenotype unclear: different projects have found that 1) GoF promotes erythroid maturation 2) LoF promotes macrophage over moDC fate 3) LoF reduces neutrophil counts 4) LoF inhibits megakaryocyte differentiation 5) GoF inhibits megakaryocyte differentiation,yes,"GM & ME, stemness","19302286, 15371326","Stemness, self-renewal, cell cycle",Erythroid differentiation,,eric,,,
Ezh2,"DOI10.1182/blood.V126.23.4112.4112, PMID26219303 PMID26497210 PMID34115825",GM & ME,Pleiotropic,"Splenomegaly, monocytosis, and increase in platelet numbers. Megakaryocyte maturation defects.",yes,"GM & ME, stemness","26497210, 26219303",Chromatin remodeling,"Stemness, self-renewal",,eric,,,
Fli1,PMID33717090 PMID28432223 PMID38890442 PMID38695236,ME,LoF inhibits lineage,Promotes megakaryocyte over erythroid fate choice.,yes,"GM & ME, stemness","18295580, 23320737, 15367440, 35412146",Cell fate switch between Mk and Erythroid,"Monocyte, Granulocyte",,eric,,,
Fos,PMID8423806 PMID3539224,GM,GoF promotes differentiation,Both studies are done in leukemia.,no,GM,26296889,Granulocyte,Knockdown rescues neutrophil defects in other mutants,,eric,,,
Foxn4,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Foxo1,PMID18371346 PMID36313554,no known effect,none,"Important for HSC self-renewal and represses eryhtroid differentiation in developmental hematopoiesis, but no known role in adult myeloid differentiation.",yes,No known role,21541992,"Involved in stress response, but role is unknown in differentiation.",,,eric,,,
Foxo6,PMID23420833,no known effect,none,Search turned up GM effects of a different set of FoxO factors.,no,Not reviewed,,NA,NA,NA,eric,,,
Foxp1,PMID15286807 PMID28232582 PMID18799727 PMID31077741,GM & DC,Pleiotropic,"GoF has effects on HSC?s and AML but for evidence of roles in myelopoeisis, we only found that GoF impairs monocyte differentiation and LoF impairs DC maturation.",yes,"GM & ME, stemness",28232582,"Stemness, self-renewal, cell cycle",,,eric,,,
Foxp2,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Foxs1,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,"25185711, 9389691, 15385939",,
Gata1,PMID18060035 PMID16127162 PMID7758949 PMID1987478 PMID14499119 PMID11012179 PMID1987478 PMID19491391,ME,LoF inhibits lineage and GoF promotes lineage,,yes,ME,"18295580, 15621534",MEP,Erythroid differentiation,,eric,,,
Gata2,PMID8078582 PMID19491391,no known effect,none,Defect is likely very early rather than lineage-specific. LoF has additional consequences in combination with Gata1 KO.,yes,"GM & ME, stemness","18295580, 18295580","Stemness, self-renewal, cell cycle",MEP,,eric,,,
Gata3,PMID11495703,ME,GoF promotes differentiation,"Role is not physiological: other GATA factors normally are expressed, but not GATA3.",no,ME,11495703,"Megakaryocyte, erythrocyte",Overexpression blocks GM in favor of ME fates,,eric,,,
Gata6,PMID38676923,GM,GoF promotes lineage,"Not ordinarily expressed, yet overexpression has large effects",no,Not reviewed,,NA,NA,NA,eric,,,
Gbx2,PMID9346236,GM,GoF promotes lineage,Mechanism is likely via downstream autocrine signaling,no,Not reviewed,,NA,NA,NA,eric,,,
Gfi1,PMID12530980 PMID12778173 PMID11810106 PMID33193732,GM,LoF inhibits lineage,Defect is specific to granulocytes.,yes,GM,"20861919, 23226623, 18295580, 28401061",Granulocyte,,,eric,,,
Gfi1b,PMID38548886 PMID33193732 PMID29326122,ME,LoF inhibits lineage,,yes,ME,"18295580, 28401061",MEP,Erythroid differentiation,,eric,19380823,,
Gli2,PMID25745035 PMID22461491,Stemness,LoF inhibits lineage,"In myelocytic leukemia, Gli2 LoF increases apoptosis. Related morphogen DHH controls erythropoiesis.",no,Not reviewed,,NA,NA,NA,eric,,,
Gli3,PMID22461491,no known effect,none,Related morphogen DHH controls erythropoiesis.,no,Not reviewed,,NA,NA,NA,eric,,,
Herpud1,none,no known effect,none,,yes,No known role,,,,,eric,,,
Hes6,PMC9431675 PMID36929421 PMID38572564,ME & DC,LoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Hivep2,none,no known effect,none,,yes,No known role,,,,,eric,,,
Hlf,PMID29166614 PMID30796024,DC,GoF promotes differentiation,GoF promotes myeloid over lymphoid fate and cDC1 over cDC2,yes,No known role,29262330,"LOF experiment showed phenotype in serial transplantation assay, but no effect on normal hematopoiesis.",,,eric,,,
Hmgb2,PMID19965638,ME,LoF inhibits lineage,"Regulates GFI1B. When depleted via shRNA, causes fewer and smaller colonies in an erythroid or megakaryocyte diff protocol.",no,Not reviewed,,NA,NA,NA,eric,,,
Hmgb3,PMID12714519 PMID15358624,Stemness,LoF inhibits lineage,Erythrocytemia is downstream of effects on progenitor abundance,no,Not reviewed,,,,,eric,,,
Hnf4a,none,no known effect,none,,yes,No known role,,,,,eric,,,
Hoxa1,https://doi.org/10.1182/blood.V114.22.3654.3654 https://doi.org/10.1182/blood.V118.21.2423.2423,ME,LoF inhibits lineage,There are two isoforms and this claim regards the shorter isoform.,no,Not reviewed,,NA,NA,NA,eric,,,
Hoxa10,PMID21087928 PMID17234739 PMID8972230,ME,GoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Hoxa2,PMID20130239,no known effect,none,HOXA2 is one of two HoxA genes with no effect on hematopoeisis.,no,Not reviewed,,NA,NA,NA,eric,,,
Hoxa5,PMID10397719 PMID10233891 PMID25590986,GM & ME,LoF inhibits lineage,LoF inhibits GM fate choice and promotes erythroid fate.,,yes,ME,,MEP,,eric,,,
Hoxa7,PMID12952893 PMID15070702,ME,LoF inhibits lineage,,yes,ME,23212154,MEP,,,eric,,,
Hoxa9,PMID11756161,GM,GoF promotes differentiation,,no,Not reviewed,,,,,eric,,,
Id2,PMID18523151 PMID25051963,ME,GoF promotes differentiation,Erythroid-specific effect. Opposed by Gfi1. There Is an effect on DC?s but it?s thought to be in lymphoid-derived lineages.,yes,No known role,,,,,eric,,,
Id2,PMID15701714,GM,LoF inhibits lineage,LoF blocks terminal differentiation of multiple granulocyte lineages and GoF in K562 or primary CD34+ cells promotes erythroid differentiation.,yes,Not reviewed,,,,,eric,,,
Id3,PMID27128622 PMID9525934 PMID39716491,ME,LoF inhibits lineage,Partially redundant with Id1,NA,Not reviewed,,conditional double KO in blood is anemic. Ectopic expression,NA,NA,eric,,,
Ikzf2,PMID30472158,no known effect,none,Important in AML but dispensable for myelopoiesis.,yes,No known role,,,,,eric,,,
Ikzf3,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Irf1,PMID37889967 PMID37191947 PMID15385939 PMID18060035,GM & ME,LoF inhibits GM,GoF promotes ME,yes,GM,"25185711, 9389691, 15385939","LoF has effects on several distinct stages. GoF is in the context of a Gata1 KO rescue experiment, not a single-gene effect, and it affect megakaryocyte maturation.",GMP,"Negative role in erythroid differentiation, GMP differentiation",eric,,,
Irf2,PMID19818776 PMID14505489,ME,GoF promotes megakaryocyte differentiation,,yes,"GM & ME, stemness",19483695,"Stemness, self-renewal",,,eric,,,
Irf4,PMID22003407,GM,GoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Irf5,none,no known effect,none,There is literature on roles in immune responses but no known roles in myelopoiesis.,no,Not reviewed,,,"May affect balance between neutrophils and erythroid lineage, but effect is not cell-autonomous and the work is not on PubMed to cite. DOI10.4049/jimmunol.204.Supp.63.1",,eric,,,
Irf7,PMID11585813,GM,LoF inhibits lineage,Essential for monocyte differentiation into macrophages.,yes,No known role,,,,,eric,,,
Irf8,PMID25749660 PMID8861914 PMID12133947 PMID22238324,GM & DC,LoF inhibits lineage,Irf8 is necessary for commitment to monocytic lineages and LoF yields neutrophils instead. Overexpression yields dendritic cells. Alias: ICSBP.,yes,GM,17259967,GMP,Monocyte differentiation,,eric,,,
Irf9,none,no known effect,none,,yes,No known role,,,,,eric,,,
Irx5,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Itgb2,none,no known effect,none,,yes,No known role,,,,,eric,,,
Jdp2,PMID23200825 PMID23200825,GM,LoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Jun,PMID7947389 PMID8043518,GM,GoF promotes differentiation,,no,ME,"15314183, 36104445",Erythroid differentiation and other functions,,,eric,,,
Klf1,PMID21055716 PMID25585695 PMID7753195,ME,LoF inhibits lineage,Controls globin expression and other genes important for erythroid differentiation,yes,ME,"18295580, 23361909",MEP,Erythroid differentiation,,eric,,,
Klf15,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Klf2,none,no known effect,none,Important for monocyte activation but no known role in myelopoiesis.,yes,No known role,"25150253, 17675555","Embryonic Erythroid precursor formation, but not adult hematopoiesis",,,eric,yes,"GM & ME, stemness",10518539
Klf3,PMID28600522 PMID22711990,ME,LoF inhibits lineage,,no,Not reviewed,,,,,eric,,,
Klf4,PMID18390749 PMID23319570 PMID17762869,GM,LoF inhibits lineage,LoF blocks monocyte differentiation in favor of granulocytes and GoF redirects GmP away from granulocytes to a monocyte fate. Overexpression partially rescues the IRF8 ko phenotype.,yes,GM,17762869,GMP,Monocyte differentiation,,eric,,,
Klf6,DOI10.1182/blood-2019-130800,GM & ME,LoF inhibits lineage,Block in terminal differentiation yields more cells but lower lineage marker expression.,yes,No known role,,,,,eric,,,
Klf9,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Lin28b,PMID38847604 PMID27401346 PMID25655194,GM & ME,LoF promotes GM lineage,There are also many papers on Lin28b in leukemia.,no,Not reviewed,,NA,NA,NA,eric,,,
Litaf,none,no known effect,none,,no,Not reviewed,,,,,eric,,,
Lmo2,PMID26764384 PMID37573405 PMID8033210 PMID9214632 PMID9391090,ME,LoF inhibits ME lineage,Alias is rbtn2. Essential for proliferation and survival of several AML lines and also for erythroid development (which is more relevant here). Complexes with TAL1 and GATA1. LoF and GoF both inhibit erythroid differentiation and LMO2 is thought to promote a specific immature stage. ,yes,"GM & ME, stemness","18295580, 24041784","Stemness, self-renewal, cell cycle",Erythroid differentiation,,eric,,,
Lrrfip1,none,no known effect,none,,no,Not reviewed,,NA,NA,NA,eric,,,
Lyar,PMID25092918,ME,LoF inhibits lineage,"The effect described by PMID25092918 is not phrased in terms of differentiation, but it does establish an effect on maturation of transcriptional state.",no,Not reviewed,,,,,eric,,,
Lyl1,PMID21420467,ME,LoF inhibits lineage,,no,Not reviewed,,,,,eric,23212154,,
